trip_m,H1_m,H1_m_plus_1
1000,1.10363422573,0.0374004120772
1001,0.0374004120772,1.01156340195
1002,1.01156340195,0.765314602072
1003,0.765314602072,0.658419932257
1004,0.658419932257,0.515086091781
1005,0.515086091781,0.243718515411
1006,0.243718515411,1.08635222276
1007,1.08635222276,0.0674272921347
1008,0.0674272921347,1.02132772806
1009,1.02132772806,0.821089806587
1010,0.821089806587,0.776846177173
1011,0.776846177173,0.752768455881
1012,0.752768455881,0.715742081803
1013,0.715742081803,0.64358449425
1014,0.64358449425,0.500094255605
1015,0.500094255605,0.216729343804
1016,0.216729343804,1.07561360322
1017,1.07561360322,1.18080082277
1018,1.18080082277,0.539371493374
1019,0.539371493374,0.116681112866
1020,0.116681112866,1.0382203313
1021,1.0382203313,0.942479700781
1022,0.942479700781,1.03757151192
1023,1.03757151192,0.157392108499
1024,0.157392108499,1.0529588874
1025,1.0529588874,0.991376914907
1026,0.991376914907,1.14010796398
1027,1.14010796398,0.458115290757
1028,0.458115290757,1.18012371992
1029,1.18012371992,0.544661012956
1030,0.544661012956,0.125980988553
1031,0.125980988553,1.04152697564
1032,1.04152697564,0.961478907918
1033,0.961478907918,1.07828216241
1034,1.07828216241,0.277168430286
1035,0.277168430286,1.10001848179
1036,1.10001848179,0.0174822549386
1037,0.0174822549386,1.00532042169
1038,1.00532042169,0.730971836979
1039,0.730971836979,0.585805886229
1040,0.585805886229,0.37045391271
1041,0.37045391271,1.14008339373
1042,1.14008339373,0.487609044747
1043,0.487609044747,0.0330934755168
1044,0.0330934755168,1.01019738052
1045,1.01019738052,0.775514743784
1046,0.775514743784,0.681225475288
1047,0.681225475288,0.560887124963
1048,0.560887124963,0.333962352623
1049,0.333962352623,1.12408173321
1050,1.12408173321,0.368433721176
1051,0.368433721176,1.13918690453
1052,1.13918690453,0.277935434416
1053,0.277935434416,1.10033635798
1054,1.10033635798,0.00493401099811
1055,0.00493401099811,1.00148627444
1056,1.00148627444,0.709097128665
1057,0.709097128665,0.539592958916
1058,0.539592958916,0.278883054099
1059,0.278883054099,1.10072936316
1060,1.10072936316,0.180873190079
1061,0.180873190079,1.06176241854
1062,1.06176241854,1.0253557334
1063,1.0253557334,0.0476898667478
1064,0.0476898667478,1.01486229885
1065,1.01486229885,0.795227714801
1066,0.795227714801,0.722606099211
1067,0.722606099211,0.643771826358
1068,0.643771826358,0.498156743329
1069,0.498156743329,0.212540431917
1070,0.212540431917,1.07397062894
1071,1.07397062894,1.17184961109
1072,1.17184961109,0.511656889357
1073,0.511656889357,0.0699305094915
1074,0.0699305094915,1.02216041863
1075,1.02216041863,0.84814649318
1076,0.84814649318,0.835901720135
1077,0.835901720135,0.872263454516
1078,0.872263454516,0.956218548049
1079,0.956218548049,1.12793623889
1080,1.12793623889,0.439327618458
1081,0.439327618458,1.17136016211
1082,1.17136016211,0.490619607979
1083,0.490619607979,0.0336201800997
1084,0.0336201800997,1.01036396151
1085,1.01036396151,0.775696434289
1086,0.775696434289,0.681560379157
1087,0.681560379157,0.561549216681
1088,0.561549216681,0.335267899144
1089,0.335267899144,1.12464710835
1090,1.12464710835,0.372810620391
1091,0.372810620391,1.14113076547
1092,1.14113076547,0.290924924677
1093,0.290924924677,1.10574977889
1094,1.10574977889,0.0428583663099
1095,0.0428583663099,1.01330708574
1096,1.01330708574,0.774606212167
1097,0.774606212167,0.678074947198
1098,0.678074947198,0.554380918081
1099,0.554380918081,0.32108973262
1100,0.32108973262,1.11853601729
1101,1.11853601729,0.325296903707
1102,0.325296903707,1.12034274085
1103,1.12034274085,0.150397859527
1104,0.150397859527,1.0503787372
1105,1.0503787372,0.966104676719
1106,0.966104676719,1.08520686819
1107,1.08520686819,0.296719548953
1108,0.296719548953,1.10818287417
1109,1.10818287417,0.0735994650861
1110,0.0735994650861,1.02338599372
1111,1.02338599372,0.828789695214
1112,0.828789695214,0.792962366519
1113,0.792962366519,0.7852237734
1114,0.7852237734,0.780857417196
1115,0.780857417196,0.774020040979
1116,0.774020040979,0.760629315289
1117,0.760629315289,0.73382794378
1118,0.73382794378,0.680153827944
1119,0.680153827944,0.572952680978
1120,0.572952680978,0.360190950725
1121,0.360190950725,1.13554182433
1122,1.13554182433,0.457117745375
1123,0.457117745375,1.17965600328
1124,1.17965600328,0.542723576481
1125,0.542723576481,0.122681039593
1126,0.122681039593,1.04034950713
1127,1.04034950713,0.954751032055
1128,0.954751032055,1.06386406562
1129,1.06386406562,0.234767684197
1130,0.234767684197,1.08276175831
1131,1.08276175831,1.13177791006
1132,1.13177791006,0.377859953744
1133,0.377859953744,1.14338039018
1134,1.14338039018,0.304359596244
1135,0.304359596244,1.11140777213
1136,1.11140777213,0.0821220291427
1137,0.0821220291427,1.02625611701
1138,1.02625611701,0.84354397194
1139,0.84354397194,0.824266721746
1140,0.824266721746,0.848429952685
1141,0.848429952685,0.908070051353
1142,0.908070051353,1.03040875252
1143,1.03040875252,0.15414610667
1144,0.15414610667,1.05175901552
1145,1.05175901552,0.986464425176
1146,0.986464425176,1.1296909515
1147,1.1296909515,0.427587046967
1148,0.427587046967,1.16593298884
1149,1.16593298884,0.454682982614
1150,0.454682982614,1.17851554943
1151,1.17851554943,0.528056644592
1152,0.528056644592,0.0973679853703
1153,0.0973679853703,1.03147049604
1154,1.03147049604,0.903300409505
1155,0.903300409505,0.953717488564
1156,0.953717488564,1.11144803469
1157,1.11144803469,0.387966872753
1158,0.387966872753,1.1479060548
1159,1.1479060548,0.339609394846
1160,0.339609394846,1.12653106558
1161,1.12653106558,0.185931006367
1162,0.185931006367,1.06368676537
1163,1.06368676537,1.03085727443
1164,1.03085727443,0.0642857551056
1165,0.0642857551056,1.02028671641
1166,1.02028671641,0.823820875072
1167,0.823820875072,0.783223700588
1168,0.783223700588,0.765718738084
1169,0.765718738084,0.741726486909
1170,0.741726486909,0.695568029417
1171,0.695568029417,0.603628020286
1172,0.603628020286,0.420865020098
1173,0.420865020098,0.0619469271103
1174,0.0619469271103,1.01951461173
1175,1.01951461173,0.859162746513
1176,0.859162746513,0.861084170216
1177,0.861084170216,0.923531713525
1178,0.923531713525,1.05994576576
1179,1.05994576576,0.240123921462
1180,0.240123921462,1.08490688804
1181,1.08490688804,1.14247988529
1182,1.14247988529,0.410962571566
1183,0.410962571566,1.15831424993
1184,1.15831424993,0.401409718223
1185,0.401409718223,1.15397190976
1186,1.15397190976,0.368784567089
1187,0.368784567089,1.13934250939
1188,1.13934250939,0.271753872066
1189,0.271753872066,1.09778015988
1190,1.09778015988,1.19070329529
1191,1.19070329529,0.558023846033
1192,0.558023846033,0.147663247961
1193,0.147663247961,1.04937529043
1194,1.04937529043,1.00563731065
1195,1.00563731065,1.17298468658
1196,1.17298468658,0.555091123744
1197,0.555091123744,0.145203715539
1198,0.145203715539,1.048475361
1199,1.048475361,1.00107957635
1200,1.00107957635,1.16323455666
1201,1.16323455666,0.526535321986
1202,0.526535321986,0.0970118918185
1203,0.0970118918185,1.03134754794
1204,1.03134754794,0.903006038636
1205,0.903006038636,0.953115008398
1206,0.953115008398,1.11022556206
1207,1.11022556206,0.384395945795
1208,0.384395945795,1.14630362151
1209,1.14630362151,0.329170684085
1210,0.329170684085,1.12201127371
1211,1.12201127371,0.155187159962
1212,0.155187159962,1.05214337843
1213,1.05214337843,0.974659344406
1214,0.974659344406,1.1034521566
1215,1.1034521566,0.350305244389
1216,0.350305244389,1.13119749393
1217,1.13119749393,0.228636237816
1218,0.228636237816,1.08031879005
1219,1.08031879005,1.11012009205
1220,1.11012009205,0.309689604668
1221,0.309689604668,1.11366890307
1222,1.11366890307,0.106036358137
1223,0.106036358137,1.034480308
1224,1.034480308,0.886246395002
1225,0.886246395002,0.915052907057
1226,0.915052907057,1.03241679746
1227,1.03241679746,0.15660197808
1228,0.15660197808,1.05266643156
1229,1.05266643156,0.99068559555
1230,0.99068559555,1.13868781709
1231,1.13868781709,0.453966631407
1232,0.453966631407,1.17818031231
1233,1.17818031231,0.53241326847
1234,0.53241326847,0.104982687939
1235,0.104982687939,1.03411272928
1236,1.03411272928,0.918754405636
1237,0.918754405636,0.986780330026
1238,0.986780330026,0.00774227130205
1239,0.00774227130205,1.00233760929
1240,1.00233760929,0.730991956907
1241,0.730991956907,0.586967835236
1242,0.586967835236,0.372943745102
1243,0.372943745102,1.14118997863
1244,1.14118997863,0.49603698702
1245,0.49603698702,0.0474832693997
1246,0.0474832693997,1.01479557405
1247,1.01479557405,0.804090362207
1248,0.804090362207,0.742036836975
1249,0.742036836975,0.68291318089
1250,0.68291318089,0.576112256654
1251,0.576112256654,0.366037376099
1252,0.366037376099,1.13812508523
1253,1.13812508523,0.476668648435
1254,0.476668648435,0.0145173808939
1255,0.0145173808939,1.00440752316
1256,1.00440752316,0.738855124009
1257,0.738855124009,0.60333811226
1258,0.60333811226,0.405435573555
1259,0.405435573555,0.0294889574479
1260,0.0294889574479,1.00906092802
1261,1.00906092802,0.793258012417
1262,0.793258012417,0.720463272316
1263,0.720463272316,0.639805125935
1264,0.639805125935,0.490328839908
1265,0.490328839908,0.197201553715
1266,0.197201553715,1.06801000764
1267,1.06801000764,1.1393854644
1268,1.1393854644,0.411041779015
1269,0.411041779015,1.15835036373
1270,1.15835036373,0.402393119958
1271,0.402393119958,1.15441771261
1272,1.15441771261,0.371739479176
1273,0.371739479176,1.14065452076
1274,1.14065452076,0.280509667798
1275,0.280509667798,1.10140467411
1276,1.10140467411,0.0121768955125
1277,0.0121768955125,1.00368991352
1278,1.00368991352,0.721517888676
1279,0.721517888676,0.565814337406
1280,0.565814337406,0.330790692263
1281,0.330790692263,1.12271046129
1282,1.12271046129,0.354383864296
1283,0.354383864296,1.13298623982
1284,1.13298623982,0.236192218533
1285,0.236192218533,1.08333127217
1286,1.08333127217,1.12411050735
1287,1.12411050735,0.352879508516
1288,0.352879508516,1.13232588495
1289,1.13232588495,0.231354517291
1290,0.231354517291,1.08140017156
