gamma,trip_m,H1_m,diverged
0.002,900,0.518513955406,False
0.002,901,0.518585937458,False
0.002,902,0.518658207152,False
0.002,903,0.518730765637,False
0.002,904,0.518803614067,False
0.002,905,0.5188767536,False
0.002,906,0.5189501854,False
0.002,907,0.519023910634,False
0.002,908,0.519097930476,False
0.002,909,0.519172246102,False
0.002,910,0.519246858695,False
0.002,911,0.519321769441,False
0.002,912,0.519396979531,False
0.002,913,0.519472490162,False
0.002,914,0.519548302535,False
0.002,915,0.519624417855,False
0.002,916,0.519700837333,False
0.002,917,0.519777562185,False
0.002,918,0.519854593631,False
0.002,919,0.519931932895,False
0.002,920,0.520009581208,False
0.002,921,0.520087539805,False
0.002,922,0.520165809926,False
0.002,923,0.520244392816,False
0.002,924,0.520323289724,False
0.002,925,0.520402501905,False
0.002,926,0.520482030619,False
0.002,927,0.520561877132,False
0.002,928,0.520642042712,False
0.002,929,0.520722528635,False
0.002,930,0.520803336182,False
0.002,931,0.520884466637,False
0.002,932,0.52096592129,False
0.002,933,0.521047701437,False
0.002,934,0.521129808379,False
0.002,935,0.521212243422,False
0.002,936,0.521295007876,False
0.002,937,0.521378103059,False
0.002,938,0.521461530291,False
0.002,939,0.5215452909,False
0.002,940,0.521629386217,False
0.002,941,0.521713817581,False
0.002,942,0.521798586334,False
0.002,943,0.521883693824,False
0.002,944,0.521969141405,False
0.002,945,0.522054930436,False
0.002,946,0.522141062281,False
0.002,947,0.52222753831,False
0.002,948,0.522314359899,False
0.002,949,0.522401528429,False
0.002,950,0.522489045285,False
0.002,951,0.52257691186,False
0.002,952,0.522665129551,False
0.002,953,0.522753699762,False
0.002,954,0.522842623901,False
0.002,955,0.522931903382,False
0.002,956,0.523021539625,False
0.002,957,0.523111534055,False
0.002,958,0.523201888105,False
0.002,959,0.523292603212,False
0.002,960,0.523383680817,False
0.002,961,0.52347512237,False
0.002,962,0.523566929324,False
0.002,963,0.523659103141,False
0.002,964,0.523751645286,False
0.002,965,0.523844557231,False
0.002,966,0.523937840453,False
0.002,967,0.524031496437,False
0.002,968,0.524125526671,False
0.002,969,0.524219932652,False
0.002,970,0.52431471588,False
0.002,971,0.524409877864,False
0.002,972,0.524505420116,False
0.002,973,0.524601344157,False
0.002,974,0.524697651512,False
0.002,975,0.524794343713,False
0.002,976,0.524891422297,False
0.002,977,0.524988888809,False
0.002,978,0.525086744799,False
0.002,979,0.525184991822,False
0.002,980,0.525283631443,False
0.002,981,0.525382665228,False
0.002,982,0.525482094755,False
0.002,983,0.525581921603,False
0.002,984,0.525682147361,False
0.002,985,0.525782773623,False
0.002,986,0.525883801989,False
0.002,987,0.525985234066,False
0.002,988,0.526087071467,False
0.002,989,0.526189315812,False
0.002,990,0.526291968726,False
0.002,991,0.526395031844,False
0.002,992,0.526498506804,False
0.002,993,0.526602395251,False
0.002,994,0.526706698838,False
0.002,995,0.526811419224,False
0.002,996,0.526916558074,False
0.002,997,0.52702211706,False
0.002,998,0.527128097862,False
0.002,999,0.527234502165,False
0.002,1000,0.527341331662,False
0.004,900,1.00000865618,False
0.004,901,0.0021653972982,False
0.004,902,1.00000866159,False
0.004,903,0.00216676041509,False
0.004,904,1.00000866704,False
0.004,905,0.00216813450243,False
0.004,906,1.00000867254,False
0.004,907,0.00216951964831,False
0.004,908,1.00000867808,False
0.004,909,0.00217091594197,False
0.004,910,1.00000868366,False
0.004,911,0.00217232347291,False
0.004,912,1.00000868929,False
0.004,913,0.00217374233159,False
0.004,914,1.00000869497,False
0.004,915,0.00217517260933,False
0.004,916,1.00000870069,False
0.004,917,0.00217661439785,False
0.004,918,1.00000870646,False
0.004,919,0.00217806778994,False
0.004,920,1.00000871227,False
0.004,921,0.00217953287904,False
0.004,922,1.00000871813,False
0.004,923,0.00218100975917,False
0.004,924,1.00000872404,False
0.004,925,0.00218249852514,False
0.004,926,1.00000872999,False
0.004,927,0.00218399927269,False
0.004,928,1.000008736,False
0.004,929,0.00218551209821,False
0.004,930,1.00000874205,False
0.004,931,0.00218703709902,False
0.004,932,1.00000874815,False
0.004,933,0.00218857437301,False
0.004,934,1.0000087543,False
0.004,935,0.00219012401885,False
0.004,936,1.0000087605,False
0.004,937,0.00219168613637,False
0.004,938,1.00000876674,False
0.004,939,0.00219326082595,False
0.004,940,1.00000877304,False
0.004,941,0.00219484818854,False
0.004,942,1.00000877939,False
0.004,943,0.00219644832612,False
0.004,944,1.00000878579,False
0.004,945,0.00219806134157,False
0.004,946,1.00000879225,False
0.004,947,0.00219968733859,False
0.004,948,1.00000879875,False
0.004,949,0.00220132642164,False
0.004,950,1.00000880531,False
0.004,951,0.00220297869612,False
0.004,952,1.00000881191,False
0.004,953,0.0022046442682,False
0.004,954,1.00000881858,False
0.004,955,0.00220632324465,False
0.004,956,1.00000882529,False
0.004,957,0.00220801573346,False
0.004,958,1.00000883206,False
0.004,959,0.00220972184354,False
0.004,960,1.00000883889,False
0.004,961,0.00221144168449,False
0.004,962,1.00000884577,False
0.004,963,0.00221317536671,False
0.004,964,1.0000088527,False
0.004,965,0.00221492300159,False
0.004,966,1.00000885969,False
0.004,967,0.00221668470135,False
0.004,968,1.00000886674,False
0.004,969,0.00221846057923,False
0.004,970,1.00000887384,False
0.004,971,0.00222025074936,False
0.004,972,1.000008881,False
0.004,973,0.0022220553268,False
0.004,974,1.00000888822,False
0.004,975,0.0022238744275,False
0.004,976,1.0000088955,False
0.004,977,0.00222570816834,False
0.004,978,1.00000890283,False
0.004,979,0.00222755666709,False
0.004,980,1.00000891023,False
0.004,981,0.00222942004268,False
0.004,982,1.00000891768,False
0.004,983,0.00223129841459,False
0.004,984,1.00000892519,False
0.004,985,0.00223319190366,False
0.004,986,1.00000893277,False
0.004,987,0.00223510063165,False
0.004,988,1.0000089404,False
0.004,989,0.0022370247209,False
0.004,990,1.0000089481,False
0.004,991,0.00223896429532,False
0.004,992,1.00000895586,False
0.004,993,0.00224091947939,False
0.004,994,1.00000896368,False
0.004,995,0.00224289039875,False
0.004,996,1.00000897156,False
0.004,997,0.00224487718015,False
0.004,998,1.00000897951,False
0.004,999,0.00224687995114,False
0.004,1000,1.00000898752,False
0.006,900,0.00596406792044,False
0.006,901,1.00003578441,False
0.006,902,0.00600006485479,False
0.006,903,3.60652386462e-05,False
0.006,904,1.00000021639,False
0.006,905,5.010095947e-07,False
0.006,906,1.00000000301,False
0.006,907,1.00000028934,False
0.006,908,0.00596407855846,False
0.006,909,1.00003578447,False
0.006,910,0.0060000756215,False
0.006,911,3.60760702733e-05,False
0.006,912,1.00000021646,False
0.006,913,5.12037104272e-07,False
0.006,914,1.00000000307,False
0.006,915,1.00000030043,False
0.006,916,0.0059640898528,False
0.006,917,1.00003578454,False
0.006,918,0.00600008705271,False
0.006,919,3.60875704928e-05,False
0.006,920,1.00000021653,False
0.006,921,5.23745143255e-07,False
0.006,922,1.00000000314,False
0.006,923,1.00000031221,False
0.006,924,0.00596410184437,False
0.006,925,1.00003578461,False
0.006,926,0.00600009918946,False
0.006,927,3.60997804592e-05,False
0.006,928,1.0000002166,False
0.006,929,5.36175662091e-07,False
0.006,930,1.00000000322,False
0.006,931,1.00000032472,False
0.006,932,0.00596411457605,False
0.006,933,1.00003578469,False
0.006,934,0.0060001120753,False
0.006,935,3.61127440556e-05,False
0.006,936,1.00000021668,False
0.006,937,5.49373567083e-07,False
0.006,938,1.0000000033,False
0.006,939,1.000000338,False
0.006,940,0.00596412809341,False
0.006,941,1.00003578477,False
0.006,942,0.00600012575626,False
0.006,943,3.61265076663e-05,False
0.006,944,1.00000021676,False
0.006,945,5.63386038266e-07,False
0.006,946,1.00000000338,False
0.006,947,1.0000003521,False
0.006,948,0.00596414244535,False
0.006,949,1.00003578485,False
0.006,950,0.00600014028191,False
0.006,951,3.61411208587e-05,False
0.006,952,1.00000021685,False
0.006,953,5.78263211537e-07,False
0.006,954,1.00000000347,False
0.006,955,1.00000036706,False
0.006,956,0.00596415768268,False
0.006,957,1.00003578495,False
0.006,958,0.00600015570387,False
0.006,959,3.61566359288e-05,False
0.006,960,1.00000021694,False
0.006,961,5.94058747083e-07,False
0.006,962,1.00000000356,False
0.006,963,1.00000038295,False
0.006,964,0.00596417386066,False
0.006,965,1.00003578504,False
0.006,966,0.00600017207762,False
0.006,967,3.61731084695e-05,False
0.006,968,1.00000021704,False
0.006,969,6.10828806202e-07,False
0.006,970,1.00000000366,False
0.006,971,1.00000039983,False
0.006,972,0.00596419103692,False
0.006,973,1.00003578515,False
0.006,974,0.00600018946182,False
0.006,975,3.61905977115e-05,False
0.006,976,1.00000021714,False
0.006,977,6.28634097666e-07,False
0.006,978,1.00000000377,False
0.006,979,1.00000041774,False
0.006,980,0.00596420927343,False
0.006,981,1.00003578526,False
0.006,982,0.00600020791921,False
0.006,983,3.62091665238e-05,False
0.006,984,1.00000021725,False
0.006,985,6.47538513476e-07,False
0.006,986,1.00000000389,False
0.006,987,1.00000043676,False
0.006,988,0.00596422863578,False
0.006,989,1.27273551698e-08,False
0.006,990,1.00000000008,False
0.006,991,0.999999798168,False
0.006,992,0.00596357852805,False
0.006,993,1.00003578147,False
0.006,994,0.00599956953693,False
0.006,995,3.55669310466e-05,False
0.006,996,1.0000002134,False
0.006,997,1.00003577903,False
0.006,998,0.00600020833292,False
0.006,999,3.62095827313e-05,False
0.006,1000,1.00000021726,False
0.008,900,6.44531462513e-05,False
0.008,901,1.00000051563,False
0.008,902,1.49627192059e-06,False
0.008,903,1.00000001197,False
0.008,904,1.0000010005,False
0.008,905,0.00793651257118,False
0.008,906,6.40284270048e-10,False
0.008,907,1.00000000001,False
0.008,908,0.999999492714,False
0.008,909,0.00793496850645,False
0.008,910,1.00006347975,False
0.008,911,0.00799893951682,False
0.008,912,6.29309333817e-05,False
0.008,913,1.00000050345,False
0.008,914,1.00006342992,False
0.008,915,0.00800044426899,False
0.008,916,6.44478191134e-05,False
0.008,917,1.00000051558,False
0.008,918,1.49081620293e-06,False
0.008,919,1.00000001193,False
0.008,920,1.000000995,False
0.008,921,0.00793650693879,False
0.008,922,1.00006349206,False
0.008,923,0.00800050285864,False
0.008,924,6.45068812446e-05,False
0.008,925,1.00000051606,False
0.008,926,1.55130328494e-06,False
0.008,927,1.00000001241,False
0.008,928,1.00000105597,False
0.008,929,0.00793656938481,False
0.008,930,5.79120751354e-08,False
0.008,931,1.00000000046,False
0.008,932,0.999999550902,False
0.008,933,0.00793502809472,False
0.008,934,1.00006348022,False
0.008,935,0.00799900006984,False
0.008,936,6.29919746871e-05,False
0.008,937,1.00000050394,False
0.008,938,1.00006349194,False
0.008,939,0.00800050777934,False
0.008,940,6.4511841515e-05,False
0.008,941,1.00000051609,False
0.008,942,1.5563832676e-06,False
0.008,943,1.00000001245,False
0.008,944,1.0000010611,False
0.008,945,0.00793657462953,False
0.008,946,6.31990815236e-08,False
0.008,947,1.00000000051,False
0.008,948,0.999999556273,False
0.008,949,0.00793503359557,False
0.008,950,1.00006348027,False
0.008,951,0.00799900565971,False
0.008,952,6.29976095752e-05,False
0.008,953,1.00000050398,False
0.008,954,5.61590240977e-09,False
0.008,955,1.00000000004,False
0.008,956,0.999999497725,False
0.008,957,0.00793497363793,False
0.008,958,1.00006347979,False
0.008,959,0.00799894473141,False
0.008,960,6.293618992e-05,False
0.008,961,1.00000050349,False
0.008,962,1.00006343526,False
0.008,963,0.00800044973823,False
0.008,964,6.44533324703e-05,False
0.008,965,1.00000051563,False
0.008,966,1.49646257341e-06,False
0.008,967,1.00000001197,False
0.008,968,1.00000100069,False
0.008,969,0.00793651276808,False
0.008,970,8.3878148871e-10,False
0.008,971,1.00000000001,False
0.008,972,0.999999492915,False
0.008,973,0.00793496871302,False
0.008,974,1.00006347975,False
0.008,975,0.00799893972669,False
0.008,976,6.29311449529e-05,False
0.008,977,1.00000050345,False
0.008,978,1.00006343014,False
0.008,979,0.00800044448908,False
0.008,980,6.44480410301e-05,False
0.008,981,1.00000051558,False
0.008,982,1.49104346292e-06,False
0.008,983,1.00000001193,False
0.008,984,1.00000099523,False
0.008,985,0.00793650717344,False
0.008,986,1.00006349206,False
0.008,987,0.00800050309704,False
0.008,988,6.45071215786e-05,False
0.008,989,1.00000051606,False
0.008,990,1.55154941694e-06,False
0.008,991,1.00000001241,False
0.008,992,1.00000105622,False
0.008,993,0.00793656963913,False
0.008,994,5.81684389545e-08,False
0.008,995,1.00000000047,False
0.008,996,0.999999551162,False
0.008,997,0.00793502836154,False
0.008,998,1.00006348023,False
0.008,999,0.0079990003411,False
0.008,1000,6.29922481039e-05,False
0.01,900,9.78919326826e-05,False
0.01,901,1.00000097892,False
0.01,902,1.00009885977,False
0.01,903,0.0100008353494,False
0.01,904,0.000100843687619,False
0.01,905,1.00000100844,False
0.01,906,2.88916703539e-06,False
0.01,907,1.00000002889,False
0.01,908,1.00000192853,False
0.01,909,0.00990098657962,False
0.01,910,1.00009900987,False
0.01,911,0.0100009766053,False
0.01,912,0.000100986369944,False
0.01,913,1.00000100986,False
0.01,914,3.03615831854e-06,False
0.01,915,1.00000003036,False
0.01,916,1.00000207702,False
0.01,917,0.00990113953947,False
0.01,918,1.41144596455e-07,False
0.01,919,1.00000000141,False
0.01,920,0.999999153868,False
0.01,921,0.00989812839885,False
0.01,922,1.00009898128,False
0.01,923,0.00999806040613,False
0.01,924,9.80407202178e-05,False
0.01,925,1.00000098041,False
0.01,926,1.5500063455e-09,False
0.01,927,1.00000000002,False
0.01,928,0.999999011466,False
0.01,929,0.00989798171088,False
0.01,930,1.00009897982,False
0.01,931,0.00999791074071,False
0.01,932,9.78895432127e-05,False
0.01,933,1.0000009789,False
0.01,934,1.00009885733,False
0.01,935,0.0100008328388,False
0.01,936,0.000100841151834,False
0.01,937,1.00000100841,False
0.01,938,2.88655473923e-06,False
0.01,939,1.00000002887,False
0.01,940,1.00000192589,False
0.01,941,0.00990098386126,False
0.01,942,1.00009900984,False
0.01,943,0.0100009738318,False
0.01,944,0.000100983568473,False
0.01,945,1.00000100984,False
0.01,946,3.03327226447e-06,False
0.01,947,1.00000003033,False
0.01,948,1.00000207411,False
0.01,949,0.00990113653631,False
0.01,950,1.38111204251e-07,False
0.01,951,1.00000000138,False
0.01,952,0.999999150774,False
0.01,953,0.00989812521175,False
0.01,954,1.00009898125,False
0.01,955,0.00999805715446,False
0.01,956,9.80374356914e-05,False
0.01,957,1.00000098037,False
0.01,958,1.00009900818,False
0.01,959,0.0100009882298,False
0.01,960,0.000100998111861,False
0.01,961,1.00000100998,False
0.01,962,3.04825493913e-06,False
0.01,963,1.00000003048,False
0.01,964,1.00000208924,False
0.01,965,0.00990115212721,False
0.01,966,1.53859446073e-07,False
0.01,967,1.00000000154,False
0.01,968,0.999999166837,False
0.01,969,0.00989814175841,False
0.01,970,1.00009898142,False
0.01,971,0.00999807403707,False
0.01,972,9.80544888307e-05,False
0.01,973,1.00000098054,False
0.01,974,1.57343720275e-08,False
0.01,975,1.00000000016,False
0.01,976,0.999999025795,False
0.01,977,0.0098979964713,False
0.01,978,1.00009897996,False
0.01,979,0.00999792580058,False
0.01,980,9.79047551937e-05,False
0.01,981,1.00000097905,False
0.01,982,1.00009887285,False
0.01,983,0.0100008488221,False
0.01,984,0.000100857296388,False
0.01,985,1.00000100857,False
0.01,986,2.90318678253e-06,False
0.01,987,1.00000002903,False
0.01,988,1.0000019427,False
0.01,989,0.00990100116871,False
0.01,990,1.37663391797e-09,False
0.01,991,1.00000000001,False
0.01,992,0.999999011304,False
0.01,993,0.00989798154433,False
0.01,994,1.00009897982,False
0.01,995,0.00999791057075,False
0.01,996,9.78893715455e-05,False
0.01,997,1.00000097889,False
0.01,998,1.00009885716,False
0.01,999,0.0100008326584,False
0.01,1000,0.000100840969594,False
0.012,900,0.000145726802657,False
0.012,901,1.00000174872,False
0.012,902,5.28693692559e-06,False
0.012,903,1.00000006344,False
0.012,904,1.00000364438,False
0.012,905,0.0118580480942,False
0.012,906,3.24466327584e-07,False
0.012,907,1.00000000389,False
0.012,908,0.999998624741,False
0.012,909,0.0118528470333,False
0.012,910,1.00014223416,False
0.012,911,0.0119967077944,False
0.012,912,0.000140667576716,False
0.012,913,1.00000168801,False
0.012,914,4.41216343461e-08,False
0.012,915,1.00000000053,False
0.012,916,0.999998337151,False
0.012,917,0.0118525490489,False
0.012,918,1.00014223059,False
0.012,919,0.01199640253,False
0.012,920,0.000140358605677,False
0.012,921,1.0000016843,False
0.012,922,1.00014201994,False
0.012,923,0.0120014248653,False
0.012,924,0.000145441923905,False
0.012,925,1.0000017453,False
0.012,926,4.99172040236e-06,False
0.012,927,1.0000000599,False
0.012,928,1.00000334554,False
0.012,929,0.0118577384496,False
0.012,930,1.10625251182e-08,False
0.012,931,1.00000000013,False
0.012,932,0.999998303815,False
0.012,933,0.0118525145084,False
0.012,934,1.00014223017,False
0.012,935,0.0119963671458,False
0.012,936,0.000140322791708,False
0.012,937,1.00000168387,False
0.012,938,1.00014198327,False
0.012,939,0.0120013868661,False
0.012,940,0.000145403463421,False
0.012,941,1.00000174484,False
0.012,942,4.95186441185e-06,False
0.012,943,1.00000005942,False
0.012,944,1.00000330519,False
0.012,945,0.0118576966458,False
0.012,946,1.00014229236,False
0.012,947,0.0120016758846,False
0.012,948,0.000145695990682,False
0.012,949,1.00000174835,False
0.012,950,5.25500672666e-06,False
0.012,951,1.00000006306,False
0.012,952,1.00000361206,False
0.012,953,0.0118580146035,False
0.012,954,2.90569118988e-07,False
0.012,955,1.00000000349,False
0.012,956,0.99999859003,False
0.012,957,0.0118528110681,False
0.012,958,1.00014223373,False
0.012,959,0.0119966709506,False
0.012,960,0.0001406302855,False
0.012,961,1.00000168756,False
0.012,962,5.47720446775e-09,False
0.012,963,1.00000000007,False
0.012,964,0.999998298032,False
0.012,965,0.0118525085156,False
0.012,966,1.0001422301,False
0.012,967,0.0119963610066,False
0.012,968,0.00014031657804,False
0.012,969,1.0000016838,False
0.012,970,1.00014197691,False
0.012,971,0.0120013802734,False
0.012,972,0.000145396790685,False
0.012,973,1.00000174476,False
0.012,974,4.94494940995e-06,False
0.012,975,1.00000005934,False
0.012,976,1.00000329819,False
0.012,977,0.0118576893929,False
0.012,978,1.00014229227,False
0.012,979,0.0120016684543,False
0.012,980,0.000145688470298,False
0.012,981,1.00000174826,False
0.012,982,5.24721349393e-06,False
0.012,983,1.00000006297,False
0.012,984,1.00000360417,False
0.012,985,0.0118580064294,False
0.012,986,2.82295786747e-07,False
0.012,987,1.00000000339,False
0.012,988,0.999998581559,False
0.012,989,0.01185280229,False
0.012,990,1.00014223363,False
0.012,991,0.0119966619581,False
0.012,992,0.000140621183618,False
0.012,993,1.00000168745,False
0.012,994,1.00014228882,False
0.012,995,0.0120017034635,False
0.012,996,0.000145723904438,False
0.012,997,1.00000174869,False
0.012,998,5.28393343302e-06,False
0.012,999,1.00000006341,False
0.012,1000,1.00000364134,False
0.014,900,0.999997919062,False
0.014,901,0.0137990872526,False
0.014,902,1.00019318722,False
0.014,903,0.0139948315647,False
0.014,904,0.000190757684777,False
0.014,905,1.00000267061,False
0.014,906,1.00284296423e-07,False
0.014,907,1.0000000014,False
0.014,908,0.999997395606,False
0.014,909,0.0137985417105,False
0.014,910,1.00019317958,False
0.014,911,0.0139942704279,False
0.014,912,0.000190188583588,False
0.014,913,1.00000266264,False
0.014,914,1.00019280826,False
0.014,915,0.0140021994722,False
0.014,916,0.000198230168166,False
0.014,917,1.00000277522,False
0.014,918,7.88954150721e-06,False
0.014,919,1.00000011045,False
0.014,920,1.00000529694,False
0.014,921,0.0138067764325,False
0.014,922,3.39392727255e-08,False
0.014,923,1.00000000048,False
0.014,924,0.999997328768,False
0.014,925,0.0137984720525,False
0.014,926,1.00019317861,False
0.014,927,0.0139941987788,False
0.014,928,0.000190115917576,False
0.014,929,1.00000266162,False
0.014,930,1.00019273356,False
0.014,931,0.0140021216195,False
0.014,932,0.000198151210725,False
0.014,933,1.00000277412,False
0.014,934,7.80723678417e-06,False
0.014,935,1.0000001093,False
0.014,936,1.00000521346,False
0.014,937,0.0138066894208,False
0.014,938,1.00019329365,False
0.014,939,0.0140026510436,False
0.014,940,0.00019868814752,False
0.014,941,1.00000278163,False
0.014,942,8.36693538986e-06,False
0.014,943,1.00000011714,False
0.014,944,1.00000578121,False
0.014,945,0.0138072811285,False
0.014,946,5.45797320228e-07,False
0.014,947,1.00000000764,False
0.014,948,0.999997854959,False
